userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments,cluster,archetype
8978,-0.7397147792788648,1667821497,1674544129,-0.3249490954479132,-0.3760408542926805,-1.4997156735478054,-0.0587706427043457,1.0162291087187276,0.5712494646853049,0,Efficient Learner
8980,0.1293391523068976,1665482930,1674489469,0.5926125833798241,-0.3760408542926805,-0.4610670915764662,0.0174710958233493,1.2975303176985946,0.6713737195093517,1,Struggling but Trying
8981,-0.8084888314187453,1667901882,1674567987,-0.6002175990962344,-0.3760408542926805,-1.4997156735478054,1.3480124036776424,-1.7444096791549872,-0.1296203190830226,0,Efficient Learner
8982,-0.5346430601708575,1662190337,1674586601,-0.3249490954479132,-0.3760408542926805,1.039203082382135,0.0133720776229357,1.083726038893212,0.5712494646853049,1,Struggling but Trying
8984,-0.7122051584229125,1664367272,1674578825,-0.6002175990962344,-0.3760408542926805,0.0774914324086726,0.7900335511463248,0.1498131019068029,0.0706281905650709,0,Efficient Learner
8999,-1.0260649236430943,1666070942,1674195734,-1.1507546063928769,0.6273373867286552,-0.8457517515658511,-1.449321577012695,0.4000529491743603,-0.5301173383792098,0,Efficient Learner
9002,-0.8885168193633334,1662124877,1674216514,-1.1507546063928769,1.630715627749991,0.8853292183863809,-1.4114466488408723,1.2602764096210626,-1.2309871221475377,1,Struggling but Trying
9028,-1.0348179848245338,1663771959,1674508463,-1.426023110041198,-1.0449596816402376,0.3083022284023036,-0.1489490431134475,-1.3084579989517875,-1.2309871221475377,0,Efficient Learner
9030,-0.7334625927206938,1670232115,1674603819,-1.6095354458067457,0.2928779730548767,-2.2690849935265756,0.9692631219594148,-1.245619198333666,-0.8304901028513502,0,Efficient Learner
9033,1.6198604277748527,1662455310,1674596839,0.2255879118487292,1.630715627749991,0.9237976843853194,0.5741177674395321,0.1595639786378545,1.7727405225738666,1,Struggling but Trying
9034,-0.3508287753606315,1665399889,1674557751,-0.2331929275651394,-0.710500267966459,-0.4225986255775277,1.1315842426957976,-0.9435140654253908,-0.1296203190830226,0,Efficient Learner
9036,-0.3920932066445598,1662365263,1673513805,-0.0496805917995919,0.961796800402434,0.5006445583969961,1.3239648302352138,-1.4246929289077903,-0.6302415932032567,0,Efficient Learner
9037,-0.4571159468495377,1662104455,1674504049,-0.2331929275651394,1.2962562140762124,1.039203082382135,0.482299759750265,-0.8253066557852267,-0.2297445739070694,1,Struggling but Trying
9038,-0.4171019528772436,1662280203,1664617675,-0.4167052633306869,-0.3760408542926805,-2.2690849935265756,-0.6539480854044174,2.4519668741226908,-1.331111376971584,0,Efficient Learner
9039,0.7995735513428237,1662552231,1674034138,0.4091002476142767,0.6273373867286552,0.6160499563938115,0.7445108009398071,-0.6845080673168138,-0.2297445739070694,1,Struggling but Trying
9040,0.1806070820838994,1662107615,1674559061,0.0420755760831817,-0.710500267966459,1.0776715483810737,0.9794081920054384,0.2983497428239055,0.0706281905650709,1,Struggling but Trying
9041,2.1963120284382143,1662481457,1674244182,0.6843687512625979,0.6273373867286552,0.7699238203895655,0.6987279207321092,-0.8030173543124539,-0.1296203190830226,1,Struggling but Trying
9042,-0.813490580665282,1664648783,1674591833,-1.7012916136895193,0.2928779730548767,-0.0379139655881428,0.9692631219594148,-1.245619198333666,-0.8304901028513502,0,Efficient Learner
9043,2.1963120284382143,1662201869,1674492468,0.7761249191453716,0.961796800402434,1.0007346163831965,-0.71391672167647,1.00861203574645,2.2733617966941004,1,Struggling but Trying
9048,-0.387091457398023,1664872147,1674473299,1.4184180943247875,0.6273373867286552,-0.1917878295838968,0.7558409076578737,-0.3146700807777401,0.2708767002131644,1,Struggling but Trying
9049,0.0393076658692359,1662099962,1674460246,-0.1414367596823657,0.6273373867286552,1.039203082382135,1.2776732513585425,-1.5733975224152077,-0.5301173383792098,0,Efficient Learner
9052,-0.0307168235822787,1663161736,1674555587,0.1338317439659554,-0.710500267966459,0.577581490394873,1.2668518433094504,-0.9146046632337216,-0.1296203190830226,0,Efficient Learner
9053,-0.1857710502249183,1662136611,1674573952,-0.3249490954479132,0.2928779730548767,1.039203082382135,1.3818293038310552,-1.713429452661038,-0.7303658480273034,0,Efficient Learner
9054,-0.5471474332871994,1663232770,1674378782,0.3173440797315029,0.6273373867286552,0.5006445583969961,0.5167315126337402,0.5543179348417043,-0.4299930835551631,1,Struggling but Trying
9055,0.5594895875090592,1662462295,1674222422,1.326661926442014,0.2928779730548767,0.7699238203895655,-0.8703762463862618,0.75461121715538,1.2721192484536323,1,Struggling but Trying
9057,-0.8034870821722084,1662443782,1674156151,-1.8848039494550668,0.2928779730548767,0.731455354390627,0.2455814586763728,-0.0057072710068951,-0.7303658480273034,0,Efficient Learner
9058,-0.5934136138176644,1665513843,1674579348,0.2255879118487292,-0.710500267966459,-0.4610670915764662,0.3876124393207081,0.2842846678707056,0.0706281905650709,0,Efficient Learner
9061,1.0459097017347592,1662400465,1674055117,-0.1414367596823657,1.2962562140762124,0.6929868883916885,-0.7087670603899503,0.9437132250609952,2.2733617966941004,1,Struggling but Trying
9064,-0.819742767223453,1663927421,1673021267,-0.5084614312134607,-0.3760408542926805,-0.4225986255775277,1.3029232034730909,-1.7829007557770198,-0.930614357675397,0,Efficient Learner
9065,0.420691045917664,1662537824,1674322111,-0.2331929275651394,0.6273373867286552,0.7699238203895655,-0.8254571941070109,0.7325086030139684,2.2733617966941004,1,Struggling but Trying
9067,-0.2357885426902859,1662056075,1674591128,0.5926125833798241,0.2928779730548767,1.116140014380012,-0.129526003025333,0.315023697733773,-0.2297445739070694,1,Struggling but Trying
9070,1.2584840447125716,1662027844,1674291751,0.9596372549109192,1.2962562140762124,0.962266150384258,0.4030266542743568,0.5912784149430818,2.2733617966941004,1,Struggling but Trying
9073,-0.5483978705988336,1662495791,1673772756,0.1338317439659554,0.6273373867286552,0.5391130243959346,-0.6539480854044174,1.6272384679886125,-1.1308628673234906,1,Struggling but Trying
9075,-1.049823232564144,1662911005,1672910523,-1.7012916136895193,-1.3794190953140162,-0.0379139655881428,1.23979832318672,0.2852146526324681,-1.431235631795631,0,Efficient Learner
9076,-0.3620827111653392,1662567538,1669648326,0.1338317439659554,-0.710500267966459,-1.3458418095520517,-1.0175473958539156,0.844049156948419,0.971746483981492,1,Struggling but Trying
9078,0.0655668494135539,1662642834,1674574975,0.9596372549109192,1.2962562140762124,0.8468607523874424,1.160061632298672,-0.6120309265958376,0.3710009550372112,1,Struggling but Trying
9079,-0.813490580665282,1666106530,1674055893,0.0420755760831817,0.2928779730548767,-0.922688683563728,0.0614672245077901,0.0280558446545828,-0.6302415932032567,0,Efficient Learner
9080,-0.1907727994714551,1662451683,1674059235,0.5926125833798241,-0.3760408542926805,0.6929868883916885,-0.2030560833589084,1.3005136213358963,0.5712494646853049,1,Struggling but Trying
9081,-0.7197077822927177,1666347141,1673530246,0.1338317439659554,-0.710500267966459,-1.2689048775541747,0.6243307403946003,0.5092578888598414,0.0706281905650709,0,Efficient Learner
9089,-0.5158865004963447,1663086600,1673527917,-0.1414367596823657,0.6273373867286552,0.1544283644065496,-0.0148086725049085,0.9632925263319408,0.0706281905650709,1,Struggling but Trying
9090,-0.0782334414243779,1662465122,1673966583,0.0420755760831817,0.6273373867286552,0.65451842239275,0.5093532798729954,-0.7843525105001078,-0.1296203190830226,1,Struggling but Trying
9091,0.3344108714149048,1663009041,1674497346,0.4091002476142767,-0.0415814406189019,0.6160499563938115,0.5391121520079992,0.3560573358288709,0.471125209861258,1,Struggling but Trying
9092,1.2709884178289137,1662315965,1674464694,0.6843687512625979,0.961796800402434,0.9237976843853194,0.6862416806754643,-0.7549940513961926,-0.2297445739070694,1,Struggling but Trying
9093,-0.906022941726212,1664997363,1668364479,-0.6002175990962344,2.2996344550975483,-2.2690849935265756,-1.297821864325404,0.6153108328325865,0.471125209861258,1,Struggling but Trying
9094,-1.1210981593272928,1663236626,1663236627,-2.3435847888689354,-2.7172567500091307,-2.2690849935265756,1.6185476049049474,0.2852146526324681,-1.431235631795631,0,Efficient Learner
9095,-1.0185622997732893,1662378505,1666954926,-1.7012916136895193,-1.3794190953140162,-2.2690849935265756,0.8610490414684925,0.2852146526324681,-1.431235631795631,0,Efficient Learner
9096,-0.8184923299118188,1662985382,1673259487,-0.6002175990962344,0.6273373867286552,0.0774914324086726,0.1288004301465859,0.7844849704218022,-0.0294960642589758,1,Struggling but Trying
9097,2.1963120284382143,1662628662,1673429426,0.0420755760831817,-0.3760408542926805,0.3467706944012421,-1.8463069352580963,0.0854894445130995,1.1719949936295857,1,Struggling but Trying
9099,-0.9435360610752378,1663570034,1674502114,-0.7837299348617819,-1.0449596816402376,0.3852391604001806,0.482299759750265,-1.5929472167059304,-1.0307386124994438,0,Efficient Learner
9100,-0.3845905827747546,1662447686,1673946885,-0.5084614312134607,-0.0415814406189019,0.65451842239275,0.6446208804866483,-1.2336371287237653,-0.8304901028513502,0,Efficient Learner
9101,-0.93228212527053,1662966108,1674222601,-0.5084614312134607,-2.0483379226615734,0.5391130243959346,1.23979832318672,-1.2639380359572832,-1.0307386124994438,0,Efficient Learner
9103,2.0725187345864295,1662455119,1674599230,1.0513934227936927,1.2962562140762124,0.9237976843853194,0.5741177674395321,-0.368046321397404,1.7727405225738666,1,Struggling but Trying
9105,-0.2370389800019202,1662482428,1674580394,-0.4167052633306869,0.6273373867286552,0.9237976843853194,0.2817854341347328,0.4912276235168709,0.1707524453891176,1,Struggling but Trying
9107,0.9921408973344892,1662642037,1674489271,0.5926125833798241,0.961796800402434,0.8083922863885039,-0.1755279400761299,0.4986113672715633,0.3710009550372112,1,Struggling but Trying
9108,-0.4008462678259991,1663737423,1674493441,0.1338317439659554,-0.3760408542926805,0.3083022284023036,0.69061186469529,0.6342440578422337,0.471125209861258,1,Struggling but Trying
9109,2.1963120284382143,1662467551,1674571610,1.2349057585592402,0.6273373867286552,0.9237976843853194,-0.8836411981883747,1.1211214918302204,2.2733617966941004,1,Struggling but Trying
9111,0.1906105805769729,1662973589,1674222584,0.5926125833798241,0.961796800402434,0.5391130243959346,-0.6236481428669591,1.005391872713083,0.971746483981492,1,Struggling but Trying
9113,-0.3833401454631204,1664297230,1674294484,-0.0496805917995919,0.6273373867286552,-0.0379139655881428,0.5634603201184566,-0.5849039229113572,-0.1296203190830226,1,Struggling but Trying
9114,-0.1295013712013798,1662469160,1673563643,0.6843687512625979,0.6273373867286552,0.4621760923980575,-0.4330110044021181,1.0990061966902598,0.8716222291574452,1,Struggling but Trying
9118,0.3131534371171236,1663307543,1674503613,0.4091002476142767,0.961796800402434,0.5006445583969961,-0.8459899747263356,1.033864323640166,2.2733617966941004,1,Struggling but Trying
9119,-0.9635430580613848,1664806374,1674123533,-0.7837299348617819,-0.710500267966459,-0.3456616935796507,1.23979832318672,-1.5234193958671518,-1.1308628673234906,0,Efficient Learner
9124,-0.93228212527053,1662462251,1671025664,-1.7012916136895193,-0.0415814406189019,-0.6534094215711587,0.1035504780320375,-1.23840852722115,-0.930614357675397,0,Efficient Learner
9128,-0.4208532648121462,1662527384,1674574684,-0.1414367596823657,0.6273373867286552,0.8853292183863809,1.0188612421844203,-0.674919601293695,-0.3298688287311163,1,Struggling but Trying
9129,-0.6671894152040817,1664134581,1674490178,-1.426023110041198,0.2928779730548767,0.1159598984076111,0.5769870801798218,0.23032927280114,-0.7303658480273034,0,Efficient Learner
9131,1.6323648008911946,1663153354,1674489849,0.8678810870281454,1.630715627749991,0.577581490394873,-1.8998338805301656,0.0232082742268885,2.2733617966941004,1,Struggling but Trying
9136,-0.2958095336487271,1662365106,1670699311,0.1338317439659554,0.2928779730548767,-0.7688148195679742,1.3660480837594626,-1.5929472167059304,-0.6302415932032567,0,Efficient Learner
9137,0.0305546046877965,1662495540,1674584758,-0.3249490954479132,0.2928779730548767,0.8853292183863809,0.5697034401467791,-0.906759160279458,-0.2297445739070694,1,Struggling but Trying
9138,-0.8535045746375761,1663581411,1665082231,-1.7012916136895193,-1.7138785089877948,-2.2690849935265756,-2.168945212277327,-2.042382115686888,-1.331111376971584,0,Efficient Learner
9142,2.1963120284382143,1662447770,1674591370,0.5008564154970504,-0.0415814406189019,0.9237976843853194,0.2298002386047799,0.1099058851341943,-0.930614357675397,1,Struggling but Trying
9144,-0.6946990360600339,1662316705,1674589986,-0.4167052633306869,-0.0415814406189019,1.0007346163831965,0.8610490414684925,-1.2639380359572834,-1.0307386124994438,0,Efficient Learner
9146,2.1963120284382143,1662542052,1674530111,0.9596372549109192,0.6273373867286552,0.8468607523874424,-0.9499243452901844,0.9269682344954622,2.2733617966941004,1,Struggling but Trying
9149,0.3294091221683681,1662024343,1674469690,0.5926125833798241,-0.3760408542926805,1.0776715483810737,0.0798786479246483,0.3069633206276188,0.0706281905650709,1,Struggling but Trying
